City,STI_Disease,Year,Cases
Akron,Gonorrhoea,2020,1544
Akron,Gonorrhoea,2021,1362
Akron,Gonorrhoea,2022,1018
Akron,Gonorrhoea,2023,855
Akron,Gonorrhoea,2024,818
Akron,Chlaydia,2020,2241
Akron,Chlaydia,2021,2043
Akron,Chlaydia,2022,1985
Akron,Chlaydia,2023,2046
Akron,Chlaydia,2024,1883
Akron,Syphillis,2020,74
Akron,Syphillis,2021,161
Akron,Syphillis,2022,210
Akron,Syphillis,2023,246
Akron,Syphillis,2024,221
Canton,Gonorrhoea,2020,578
Canton,Gonorrhoea,2021,604
Canton,Gonorrhoea,2022,517
Canton,Gonorrhoea,2023,436
Canton,Gonorrhoea,2024,346
Canton,Chlaydia,2020,1008
Canton,Chlaydia,2021,973
Canton,Chlaydia,2022,1022
Canton,Chlaydia,2023,1035
Canton,Chlaydia,2024,943
Canton,Syphillis,2020,31
Canton,Syphillis,2021,37
Canton,Syphillis,2022,75
Canton,Syphillis,2023,82
Canton,Syphillis,2024,117
Cincinnati,Gonorrhoea,2020,4015
Cincinnati,Gonorrhoea,2021,3653
Cincinnati,Gonorrhoea,2022,2689
Cincinnati,Gonorrhoea,2023,2622
Cincinnati,Gonorrhoea,2024,2449
Cincinnati,Chlaydia,2020,6545
Cincinnati,Chlaydia,2021,6373
Cincinnati,Chlaydia,2022,5926
Cincinnati,Chlaydia,2023,5969
Cincinnati,Chlaydia,2024,5191
Cincinnati,Syphillis,2020,243
Cincinnati,Syphillis,2021,281
Cincinnati,Syphillis,2022,532
Cincinnati,Syphillis,2023,566
Cincinnati,Syphillis,2024,475
Cleveland,Gonorrhoea,2020,4994
Cleveland,Gonorrhoea,2021,4692
Cleveland,Gonorrhoea,2022,3010
Cleveland,Gonorrhoea,2023,2856
Cleveland,Gonorrhoea,2024,2727
Cleveland,Chlaydia,2020,7203
Cleveland,Chlaydia,2021,6914
Cleveland,Chlaydia,2022,5990
Cleveland,Chlaydia,2023,6118
Cleveland,Chlaydia,2024,6062
Cleveland,Syphillis,2020,356
Cleveland,Syphillis,2021,527
Cleveland,Syphillis,2022,601
Cleveland,Syphillis,2023,550
Cleveland,Syphillis,2024,467
Columbus,Gonorrhoea,2020,4180
Columbus,Gonorrhoea,2021,4064
Columbus,Gonorrhoea,2022,3916
Columbus,Gonorrhoea,2023,3550
Columbus,Gonorrhoea,2024,2845
Columbus,Chlaydia,2020,7198
Columbus,Chlaydia,2021,7236
Columbus,Chlaydia,2022,7512
Columbus,Chlaydia,2023,7862
Columbus,Chlaydia,2024,6892
Columbus,Syphillis,2020,542
Columbus,Syphillis,2021,1104
Columbus,Syphillis,2022,1414
Columbus,Syphillis,2023,1117
Columbus,Syphillis,2024,970
Dayton,Gonorrhoea,2020,1887
Dayton,Gonorrhoea,2021,1510
Dayton,Gonorrhoea,2022,1384
Dayton,Gonorrhoea,2023,1257
Dayton,Gonorrhoea,2024,978
Dayton,Chlaydia,2020,2559
Dayton,Chlaydia,2021,2272
Dayton,Chlaydia,2022,2699
Dayton,Chlaydia,2023,2691
Dayton,Chlaydia,2024,2380
Dayton,Syphillis,2020,158
Dayton,Syphillis,2021,228
Dayton,Syphillis,2022,261
Dayton,Syphillis,2023,258
Dayton,Syphillis,2024,195
Lima,Gonorrhoea,2020,193
Lima,Gonorrhoea,2021,214
Lima,Gonorrhoea,2022,292
Lima,Gonorrhoea,2023,97
Lima,Gonorrhoea,2024,142
Lima,Chlaydia,2020,603
Lima,Chlaydia,2021,580
Lima,Chlaydia,2022,517
Lima,Chlaydia,2023,563
Lima,Chlaydia,2024,511
Lima,Syphillis,2020,15
Lima,Syphillis,2021,27
Lima,Syphillis,2022,32
Lima,Syphillis,2023,23
Lima,Syphillis,2024,16
Toledo,Gonorrhoea,2020,1777
Toledo,Gonorrhoea,2021,1534
Toledo,Gonorrhoea,2022,1407
Toledo,Gonorrhoea,2023,1111
Toledo,Gonorrhoea,2024,719
Toledo,Chlaydia,2020,2711
Toledo,Chlaydia,2021,2701
Toledo,Chlaydia,2022,2720
Toledo,Chlaydia,2023,2573
Toledo,Chlaydia,2024,2266
Toledo,Syphillis,2020,65
Toledo,Syphillis,2021,141
Toledo,Syphillis,2022,126
Toledo,Syphillis,2023,142
Toledo,Syphillis,2024,129
Youngstown,Gonorrhoea,2020,615
Youngstown,Gonorrhoea,2021,607
Youngstown,Gonorrhoea,2022,648
Youngstown,Gonorrhoea,2023,326
Youngstown,Gonorrhoea,2024,307
Youngstown,Chlaydia,2020,1027
Youngstown,Chlaydia,2021,917
Youngstown,Chlaydia,2022,806
Youngstown,Chlaydia,2023,859
Youngstown,Chlaydia,2024,728
Youngstown,Syphillis,2020,27
Youngstown,Syphillis,2021,28
Youngstown,Syphillis,2022,45
Youngstown,Syphillis,2023,54
Youngstown,Syphillis,2024,36
