County,STI_Disease,Year,Cases,Rate,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
Adams,Chlaydia,2020,66,239.7,27451.0,13705.0,13746.0,13307.0,13338.0,81.0,55.0,121.0,106.0
Adams,Chlaydia,2021,53,192.6,27589.0,13727.0,13862.0,13291.0,13428.0,92.0,67.0,123.0,117.0
Adams,Chlaydia,2022,54,196.9,27449.0,13669.0,13780.0,13221.0,13352.0,90.0,70.0,145.0,113.0
Adams,Chlaydia,2023,78,283.4,27542.0,13698.0,13844.0,13223.0,13383.0,98.0,75.0,153.0,123.0
Adams,Chlaydia,2024,64,232.5,27671.0,13773.0,13898.0,13251.0,13389.0,111.0,89.0,153.0,132.0
Adams,Gonorrhoea,2020,6,21.8,27451.0,13705.0,13746.0,13307.0,13338.0,81.0,55.0,121.0,106.0
Adams,Gonorrhoea,2021,6,32.7,27589.0,13727.0,13862.0,13291.0,13428.0,92.0,67.0,123.0,117.0
Adams,Gonorrhoea,2022,13,47.4,27449.0,13669.0,13780.0,13221.0,13352.0,90.0,70.0,145.0,113.0
Adams,Gonorrhoea,2023,9,21.8,27542.0,13698.0,13844.0,13223.0,13383.0,98.0,75.0,153.0,123.0
Adams,Gonorrhoea,2024,5,18.2,27671.0,13773.0,13898.0,13251.0,13389.0,111.0,89.0,153.0,132.0
Adams,Syphillis,2020,2,7.3,27451.0,13705.0,13746.0,13307.0,13338.0,81.0,55.0,121.0,106.0
Adams,Syphillis,2021,3,10.9,27589.0,13727.0,13862.0,13291.0,13428.0,92.0,67.0,123.0,117.0
Adams,Syphillis,2022,0,0.0,27449.0,13669.0,13780.0,13221.0,13352.0,90.0,70.0,145.0,113.0
Adams,Syphillis,2023,3,10.9,27542.0,13698.0,13844.0,13223.0,13383.0,98.0,75.0,153.0,123.0
Adams,Syphillis,2024,1,3.6,27671.0,13773.0,13898.0,13251.0,13389.0,111.0,89.0,153.0,132.0
Allen,Chlaydia,2020,707,693.3,102137.0,51077.0,51060.0,42355.0,42518.0,6429.0,6278.0,1797.0,1552.0
Allen,Chlaydia,2021,640,628.7,101800.0,50928.0,50872.0,42174.0,42306.0,6367.0,6211.0,1867.0,1622.0
