City,STI_Disease,Year,Cases
Akron,Chlaydia,2020,1609
Akron,Chlaydia,2021,1098
Akron,Chlaydia,2022,1700
Akron,Chlaydia,2023,1558
Akron,Chlaydia,2024,1099
Akron,Gonorrhoea,2020,602
Akron,Gonorrhoea,2021,620
Akron,Gonorrhoea,2022,588
Akron,Gonorrhoea,2023,498
Akron,Gonorrhoea,2024,574
Akron,Syphillis,2020,50
Akron,Syphillis,2021,58
Akron,Syphillis,2022,74
Akron,Syphillis,2023,70
Akron,Syphillis,2024,53
Canton,Chlaydia,2020,463
Canton,Chlaydia,2021,589
Canton,Chlaydia,2022,499
Canton,Chlaydia,2023,569
Canton,Chlaydia,2024,473
Canton,Gonorrhoea,2020,237
Canton,Gonorrhoea,2021,165
Canton,Gonorrhoea,2022,203
Canton,Gonorrhoea,2023,206
Canton,Gonorrhoea,2024,249
Canton,Syphillis,2020,26
Canton,Syphillis,2021,26
Canton,Syphillis,2022,23
Canton,Syphillis,2023,28
Canton,Syphillis,2024,20
Cincinnati,Chlaydia,2020,1649
Cincinnati,Chlaydia,2021,2285
Cincinnati,Chlaydia,2022,2391
Cincinnati,Chlaydia,2023,3094
Cincinnati,Chlaydia,2024,2542
Cincinnati,Gonorrhoea,2020,902
Cincinnati,Gonorrhoea,2021,969
Cincinnati,Gonorrhoea,2022,991
Cincinnati,Gonorrhoea,2023,824
Cincinnati,Gonorrhoea,2024,1158
Cincinnati,Syphillis,2020,75
Cincinnati,Syphillis,2021,101
Cincinnati,Syphillis,2022,97
Cincinnati,Syphillis,2023,113
Cincinnati,Syphillis,2024,92
Cleveland,Chlaydia,2020,2583
Cleveland,Chlaydia,2021,2554
Cleveland,Chlaydia,2022,2133
Cleveland,Chlaydia,2023,2569
Cleveland,Chlaydia,2024,2660
Cleveland,Gonorrhoea,2020,1255
Cleveland,Gonorrhoea,2021,794
Cleveland,Gonorrhoea,2022,837
Cleveland,Gonorrhoea,2023,1361
Cleveland,Gonorrhoea,2024,1433
Cleveland,Syphillis,2020,140
Cleveland,Syphillis,2021,129
Cleveland,Syphillis,2022,120
Cleveland,Syphillis,2023,158
Cleveland,Syphillis,2024,129
Columbus,Chlaydia,2020,6602
Columbus,Chlaydia,2021,6005
Columbus,Chlaydia,2022,5473
Columbus,Chlaydia,2023,4956
Columbus,Chlaydia,2024,8099
Columbus,Gonorrhoea,2020,2550
Columbus,Gonorrhoea,2021,2142
Columbus,Gonorrhoea,2022,2752
Columbus,Gonorrhoea,2023,2925
Columbus,Gonorrhoea,2024,2176
Columbus,Syphillis,2020,235
Columbus,Syphillis,2021,262
Columbus,Syphillis,2022,250
Columbus,Syphillis,2023,309
Columbus,Syphillis,2024,357
Dayton,Chlaydia,2020,780
Dayton,Chlaydia,2021,964
Dayton,Chlaydia,2022,1082
Dayton,Chlaydia,2023,826
Dayton,Chlaydia,2024,1052
Dayton,Gonorrhoea,2020,392
Dayton,Gonorrhoea,2021,455
Dayton,Gonorrhoea,2022,408
Dayton,Gonorrhoea,2023,420
Dayton,Gonorrhoea,2024,462
Dayton,Syphillis,2020,39
Dayton,Syphillis,2021,43
Dayton,Syphillis,2022,47
Dayton,Syphillis,2023,42
Dayton,Syphillis,2024,47
Lima,Chlaydia,2020,206
Lima,Chlaydia,2021,305
Lima,Chlaydia,2022,309
Lima,Chlaydia,2023,259
Lima,Chlaydia,2024,256
Lima,Gonorrhoea,2020,85
Lima,Gonorrhoea,2021,114
Lima,Gonorrhoea,2022,88
Lima,Gonorrhoea,2023,120
Lima,Gonorrhoea,2024,116
Lima,Syphillis,2020,12
Lima,Syphillis,2021,12
Lima,Syphillis,2022,15
Lima,Syphillis,2023,14
Lima,Syphillis,2024,14
Toledo,Chlaydia,2020,1808
Toledo,Chlaydia,2021,1543
Toledo,Chlaydia,2022,1429
Toledo,Chlaydia,2023,1921
Toledo,Chlaydia,2024,2702
Toledo,Gonorrhoea,2020,616
Toledo,Gonorrhoea,2021,844
Toledo,Gonorrhoea,2022,777
Toledo,Gonorrhoea,2023,804
Toledo,Gonorrhoea,2024,905
Toledo,Syphillis,2020,74
Toledo,Syphillis,2021,83
Toledo,Syphillis,2022,106
Toledo,Syphillis,2023,89
Toledo,Syphillis,2024,86
Youngstown,Chlaydia,2020,475
Youngstown,Chlaydia,2021,503
Youngstown,Chlaydia,2022,465
Youngstown,Chlaydia,2023,576
Youngstown,Chlaydia,2024,406
Youngstown,Gonorrhoea,2020,175
Youngstown,Gonorrhoea,2021,159
Youngstown,Gonorrhoea,2022,183
Youngstown,Gonorrhoea,2023,181
Youngstown,Gonorrhoea,2024,205
Youngstown,Syphillis,2020,15
Youngstown,Syphillis,2021,21
Youngstown,Syphillis,2022,15
Youngstown,Syphillis,2023,16
Youngstown,Syphillis,2024,20
