County,STI_Disease,Year,Cases,Rate,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
Adams,Chlaydia,2020,167,293.5,57184,27897,29287,20384,25300,3565,4961,1235,1660
Adams,Chlaydia,2021,250,438.6,57412,28008,29404,20465,25401,3579,4980,1239,1666
Adams,Chlaydia,2022,185,325.0,57641,28120,29521,20547,25502,3593,5000,1244,1673
Adams,Chlaydia,2023,226,396.0,57870,28231,29638,20628,25603,3607,5020,1249,1679
Adams,Chlaydia,2024,218,382.0,58098,28343,29755,20710,25704,3622,5040,1254,1686
Adams,Gonorrhoea,2020,83,145.5,57184,27897,29287,20384,25300,3565,4961,1235,1660
Adams,Gonorrhoea,2021,86,152.0,57412,28008,29404,20465,25401,3579,4980,1239,1666
Adams,Gonorrhoea,2022,104,182.5,57641,28120,29521,20547,25502,3593,5000,1244,1673
Adams,Gonorrhoea,2023,98,171.9,57870,28231,29638,20628,25603,3607,5020,1249,1679
Adams,Gonorrhoea,2024,113,198.2,58098,28343,29755,20710,25704,3622,5040,1254,1686
Adams,Syphillis,2020,8,15.1,57184,27897,29287,20384,25300,3565,4961,1235,1660
Adams,Syphillis,2021,6,11.9,57412,28008,29404,20465,25401,3579,4980,1239,1666
Adams,Syphillis,2022,11,20.8,57641,28120,29521,20547,25502,3593,5000,1244,1673
Adams,Syphillis,2023,13,23.3,57870,28231,29638,20628,25603,3607,5020,1249,1679
Adams,Syphillis,2024,7,13.9,58098,28343,29755,20710,25704,3622,5040,1254,1686
Allen,Chlaydia,2020,186,539.6,34556,17191,17365,15216,14094,1027,1645,394,1498
Allen,Chlaydia,2021,136,396.2,34694,17259,17434,15276,14150,1031,1651,395,1503
Allen,Chlaydia,2022,228,661.2,34832,17328,17503,15337,14206,1035,1658,397,1509
Allen,Chlaydia,2023,167,484.7,34970,17397,17573,15398,14263,1039,1664,398,1515
Allen,Chlaydia,2024,177,512.3,35108,17466,17642,15459,14319,1043,1671,400,1521
Allen,Gonorrhoea,2020,79,229.7,34556,17191,17365,15216,14094,1027,1645,394,1498
Allen,Gonorrhoea,2021,93,270.7,34694,17259,17434,15276,14150,1031,1651,395,1503
Allen,Gonorrhoea,2022,55,162.0,34832,17328,17503,15337,14206,1035,1658,397,1509
Allen,Gonorrhoea,2023,96,278.2,34970,17397,17573,15398,14263,1039,1664,398,1515
Allen,Gonorrhoea,2024,66,192.6,35108,17466,17642,15459,14319,1043,1671,400,1521
Allen,Syphillis,2020,10,29.9,34556,17191,17365,15216,14094,1027,1645,394,1498
Allen,Syphillis,2021,9,28.4,34694,17259,17434,15276,14150,1031,1651,395,1503
Allen,Syphillis,2022,9,28.0,34832,17328,17503,15337,14206,1035,1658,397,1509
Allen,Syphillis,2023,9,26.2,34970,17397,17573,15398,14263,1039,1664,398,1515
Allen,Syphillis,2024,10,29.4,35108,17466,17642,15459,14319,1043,1671,400,1521
Ashland,Chlaydia,2020,339,339.0,100097,49450,50647,37311,36166,1197,6623,2822,535
Ashland,Chlaydia,2021,400,400.1,100497,49647,50849,37460,36310,1201,6649,2833,537
Ashland,Chlaydia,2022,410,409.9,100897,49845,51052,37609,36455,1206,6675,2844,539
Ashland,Chlaydia,2023,488,487.9,101298,50043,51254,37758,36599,1211,6702,2855,541
Ashland,Chlaydia,2024,642,642.0,101698,50241,51457,37907,36744,1216,6728,2867,543
Ashland,Gonorrhoea,2020,153,153.3,100097,49450,50647,37311,36166,1197,6623,2822,535
Ashland,Gonorrhoea,2021,173,173.3,100497,49647,50849,37460,36310,1201,6649,2833,537
Ashland,Gonorrhoea,2022,190,190.0,100897,49845,51052,37609,36455,1206,6675,2844,539
Ashland,Gonorrhoea,2023,172,172.5,101298,50043,51254,37758,36599,1211,6702,2855,541
Ashland,Gonorrhoea,2024,158,158.1,101698,50241,51457,37907,36744,1216,6728,2867,543
Ashland,Syphillis,2020,22,22.8,100097,49450,50647,37311,36166,1197,6623,2822,535
Ashland,Syphillis,2021,23,23.3,100497,49647,50849,37460,36310,1201,6649,2833,537
Ashland,Syphillis,2022,17,17.4,100897,49845,51052,37609,36455,1206,6675,2844,539
Ashland,Syphillis,2023,20,20.6,101298,50043,51254,37758,36599,1211,6702,2855,541
Ashland,Syphillis,2024,15,15.8,101698,50241,51457,37907,36744,1216,6728,2867,543
Ashtabula,Chlaydia,2020,291,315.8,92196,45568,46628,40664,33412,8275,8914,812,2898
Ashtabula,Chlaydia,2021,336,365.0,92564,45750,46814,40826,33545,8308,8949,815,2909
Ashtabula,Chlaydia,2022,385,418.5,92933,45932,47001,40989,33679,8341,8985,818,2921
Ashtabula,Chlaydia,2023,546,593.0,93302,46114,47187,41151,33812,8374,9020,821,2932
Ashtabula,Chlaydia,2024,253,275.2,93671,46297,47374,41314,33946,8407,9056,824,2944
Ashtabula,Gonorrhoea,2020,191,207.7,92196,45568,46628,40664,33412,8275,8914,812,2898
Ashtabula,Gonorrhoea,2021,138,149.9,92564,45750,46814,40826,33545,8308,8949,815,2909
Ashtabula,Gonorrhoea,2022,184,200.5,92933,45932,47001,40989,33679,8341,8985,818,2921
Ashtabula,Gonorrhoea,2023,187,203.5,93302,46114,47187,41151,33812,8374,9020,821,2932
Ashtabula,Gonorrhoea,2024,130,142.0,93671,46297,47374,41314,33946,8407,9056,824,2944
Ashtabula,Syphillis,2020,12,14.1,92196,45568,46628,40664,33412,8275,8914,812,2898
Ashtabula,Syphillis,2021,13,14.6,92564,45750,46814,40826,33545,8308,8949,815,2909
Ashtabula,Syphillis,2022,12,13.9,92933,45932,47001,40989,33679,8341,8985,818,2921
Ashtabula,Syphillis,2023,22,24.9,93302,46114,47187,41151,33812,8374,9020,821,2932
Ashtabula,Syphillis,2024,13,15.1,93671,46297,47374,41314,33946,8407,9056,824,2944
Athens,Chlaydia,2020,265,307.4,86513,42837,43676,38009,31231,1438,8401,1812,3726
Athens,Chlaydia,2021,393,454.3,86859,43008,43850,38161,31355,1443,8434,1819,3740
Athens,Chlaydia,2022,340,393.7,87205,43179,44025,38313,31480,1449,8468,1826,3755
Athens,Chlaydia,2023,396,458.8,87551,43351,44200,38465,31605,1455,8501,1833,3770
Athens,Chlaydia,2024,313,362.5,87897,43522,44374,38617,31730,1461,8535,1840,3785
Athens,Gonorrhoea,2020,158,182.8,86513,42837,43676,38009,31231,1438,8401,1812,3726
